name,url,image_url,pigments,pigment_num,lightfastness,transparency,staining,granulation,3_mix,Additional Information,Price_15_ml,color_family,image_names
Phthalo Green Yellow Shade,http://danielsmith.com/phthalo-green-yellow-shade-5ml-tube-daniel-smith-extra-fine-watercolor/,http://danielsmith.com/wp-content/uploads/284610079_112817.jpg,Pigment: PG 36,1,Lightfastness: I – Excellent,Transparency: Transparent,Staining: 4-High Staining,Granulation: Non-Granulating,"55% Hansa Yellow Light, 45% Phthalo Blue (GS)",Very bright pure green. It can be mixed with warm yellows for bright spring greens.,13.47,green,phthalo_green_yellow_shade_crop.jpg
Hooker’s Green,http://danielsmith.com/hookers-green-5ml-tube-daniel-smith-extra-fine-watercolor/,http://danielsmith.com/wp-content/uploads/284610042_112817.jpg,"Pigment: PG 36, PY 3, PO 48, PY 150 ",4,Lightfastness: II – Very Good,Transparency: Semi-Transparent,Staining: 2-Low Staining,Granulation: Non-Granulating,"60% Hansa Yellow Light, 40% Phthalo Blue (GS)","A bright warm green, the presence of an orange pigment will cause it to produce neutralized greens if mixed with a blue with a reddish hue. Will make a wonderful neutralized sea color when mixed with Ultramarine blue. The presence of so many pigments in this paint causes a wide variety of shades from different manufacturers and can cause problems when mixing with other multi-pigment colors.
",10.86,green,hooker‚Äôs_green_crop.jpg
Sap Green,http://danielsmith.com/sap-green-5ml-tube-daniel-smith-extra-fine-watercolor/,http://danielsmith.com/wp-content/uploads/284610102_112817.jpg,"Pigment: PO 48, PY 150, PG 7 ",3,Lightfastness: I – Excellent,Transparency: Transparent,Staining: 3-Medium Staining,Granulation: Granulating,"70% Hansa Yellow Light, 30% Phthalo Blue (GS), Touch of Quinacridone Rose to Neutralize",A strong orange pigment warms this green and makes it perfect for natural foliage. Mix with Ultramarine Blue for deep forest shadows or Quinacridones for autumn tones. ,13.47,green,sap_green_crop.jpg
Deep Sap Green,http://danielsmith.com/deep-sap-green-5ml-tube-daniel-smith-extra-fine-watercolor/,http://danielsmith.com/wp-content/uploads/284610175_112817.jpg,"Pigment: PO 48, PY 3, PB 27 ",3,Lightfastness: II – Very Good,Transparency: Transparent,Staining: 3-Medium Staining,Granulation: Non-Granulating,"60% Hansa Yellow Light, 38% Phthalo Blue (GS), 2% Quinacridone Rose",Bluer than regular Sap Green and leaning to black. Mixes will with pure orange for a reddish-brown.,13.47,green,deep_sap_green_crop.jpg
Perylene Green,http://danielsmith.com/perylene-green-5ml-tube-daniel-smith-extra-fine-watercolor/,http://danielsmith.com/wp-content/uploads/284610194_112817.jpg,Pigment: PBk 31,1,Lightfastness: I – Excellent,Transparency: Semi-Transparent,Staining: 3-Medium Staining,Granulation: Non-Granulating,"60% Phthalo Blue (GS), 35% Hansa Yellow Light, 5% Quincridone Rose",Neutralized black-green. Perfect for moody palettes. It can be made by mixing Crimson with Pthalo Green.,13.47,green,perylene_green_crop.jpg
Undersea Green,http://danielsmith.com/undersea-green-5ml-tube-daniel-smith-extra-fine-watercolor/,http://danielsmith.com/wp-content/uploads/284610109_112817.jpg,"Pigment: PB 29, PO 48, PY 150 ",3,Lightfastness: I – Excellent,Transparency: Semi-Transparent,Staining: 3-Medium Staining,Granulation: Granulating,"65% Hansa Yellow Light, 25% Phthalo Blue (GS), 5% Quinacridone Rose","A mix of Ultramarine Blue and Quinacridone Gold, this specialty color is hard to replicate. It will granulate into green and reddish granules. However, it can be difficult to control in mixes.",10.86,green,undersea_green_crop.jpg
Green Gold,http://danielsmith.com/green-gold-5ml-tube-daniel-smith-extra-fine-watercolor/,http://danielsmith.com/wp-content/uploads/284610139_112817.jpg,"Pigment: PY 150, PY 3, PG 36 ",3,Lightfastness: II – Very Good,Transparency: Transparent,Staining: 3-Medium Staining,Granulation: Non-Granulating,"95% Hansa Yellow Light, 4% Phthalo Blue (GS), 1% Quinacridone Rose","Neutralized yellow-green, more natural than a Spring Green for spring foliage. ",13.47,green_yellow,green_gold_crop.jpg
Rich Green Gold,http://danielsmith.com/rich-green-gold-5ml-tube-daniel-smith-extra-fine-watercolor/,http://danielsmith.com/wp-content/uploads/284610099_112817.jpg,Pigment: PY 129,1,Lightfastness: I – Excellent,Transparency: Semi-Transparent,Staining: 2-Low Staining,Granulation: Non-Granulating,"Hansa Yellow Light, Drop of Phthalo Blue (GS) & Quinacridone Rose","This green contains no green pigment and is almost golden in its appearance. This will turn grey if mixed with red-toned blues.
",13.47,yellow_green,rich_green_gold_crop.jpg
Nickel Azo Yellow,http://danielsmith.com/nickel-azo-yellow-5ml-tube-daniel-smith-extra-fine-watercolor/,http://danielsmith.com/wp-content/uploads/284610061_112817.jpg,Pigment: PY 150,1,Lightfastness: I – Excellent,Transparency: Transparent,Staining: 2-Low Staining,Granulation: Non-Granulating,"98% Hansa Yellow Light, 2% Quinacridone Rose","Very similar in tone to Quinacridone Gold. This is a warm yellow-orange that will mix well with warm blues for natural greens. Mix with cool blues for pure neutrals.
",13.47,yellow_orange,nickel_azo_yellow_crop.jpg
Yellow Ochre,http://danielsmith.com/yellow-ochre-5ml-tube-daniel-smith-extra-fine-watercolor/,http://danielsmith.com/wp-content/uploads/284610114_112817.jpg,Pigment: PY 43,1,Lightfastness: I – Excellent,Transparency: Transparent,Staining: 1-Non-Staining,Granulation: Granulating,"93% Hansa Yellow Light, 5% Quinacridone Gold, 2% Phthalo Blue (GS)","Mix with green or green-hued blues for neutralized greens, or with red-shade blues for greys. ",10.86,yellow_brown,yellow_ochre_crop.jpg
Raw Sienna,http://danielsmith.com/raw-sienna-5ml-tube-daniel-smith-extra-fine-watercolor/,http://danielsmith.com/wp-content/uploads/284610096_112817.jpg,Pigment: PBr 7,1,Lightfastness: I – Excellent,Transparency: Semi-Transparent,Staining: 2-Low Staining,Granulation: Granulating,"94% Hansa Yellow Light, 3% Phthalo Blue (GS), 3% Quinacridone Rose",Raw sienna is one of the oldest pigments and produces a wonderful rich red-brown. Mixed with a cool yellow it will produce a Yellow Ochre. Produces a wonderful rich neutral with Ultramarine blue.,10.86,brown,raw_sienna_crop.jpg
Quinacridone Gold,http://danielsmith.com/quinacridone-gold-5ml-tube-daniel-smith-extra-fine-watercolor/,http://danielsmith.com/wp-content/uploads/284610089_112817.jpg,"Pigment: PO 48, PY 150 ",2,Lightfastness: I – Excellent,Transparency: Transparent,Staining: 2-Low Staining,Granulation: Granulating,"90% Hansa Yellow Light, 10% Quinacridone Rose","A man-made replacement for Raw sienna. Transparent, lightfast, and clean mixing. Mix with Ultramarine Blue for rich neutrals.",13.47,brown,quinacridone_gold_crop.jpg
Quinacridone Deep Gold,http://danielsmith.com/quinacridone-deep-gold-5ml-tube-daniel-smith-extra-fine-watercolor/,http://danielsmith.com/wp-content/uploads/284610152_112817.jpg,"Pigment: PO 48, PY 150 ",2,Lightfastness: I – Excellent,"Quinacridone Deep Gold is more orange than Quinacridone Gold, and more yellow than Quinacridone Burnt Orange. It’s an incredibly ruddy golden-orange, a vibrant and exciting alternative to Burnt Sienna. Quinacridones are the brightest, boldest colors modern technology can offer. Carefully selected pigments, ground to optimize their specific qualities, are blended with the finest imported Gum Arabic, put in tubes and labeled by hand. Transparency and intensity are the hallmarks of our renowned DANIEL SMITH Quinacridone colors.",Staining: 2-Low Staining,Granulation: Non-Granulating,"70% Hansa Yellow Light, 30% Quinacridone Rose, Touch of Phthalo Blue (GS)",A man-made replacement for Burnt sienna. It is more orange than Quinacridone Gold and yellower than Quinacridone Burnt Orange. Highly transparent and clean mixing.,13.47,brown,quinacridone_deep_gold_crop.jpg
Quinacridone Burnt Orange,http://danielsmith.com/quinacridone-burnt-orange-5ml-tube-daniel-smith-extra-fine-watercolor/,http://danielsmith.com/wp-content/uploads/284610086_112817.jpg,Pigment: PO 48,1,Lightfastness: I – Excellent,Transparency: Transparent,Staining: 2-Low Staining,Granulation: Granulating,"60% Hansa Yellow Light, 40% Quinacridone Rose, Touch of Phthalo Blue (GS)","Redder then Quinacridone Gold. Mixed with Ultramarine Blue it will create a wonderful range of neutrals. Added to Sap Green, it will make mossy greens perfect for landscapes.",13.47,mix,quinacridone_burnt_orange_crop.jpg
Quinacridone Sienna,http://danielsmith.com/quinacridone-sienna-5ml-tube-daniel-smith-extra-fine-watercolor/,http://danielsmith.com/wp-content/uploads/284610093_112817.jpg,"Pigment: PO 48, PY 150, PR 209 ",3,Lightfastness: I – Excellent,Transparency: Transparent,Staining: 2-Low Staining,Granulation: Granulating,"50% Hansa Yellow Light, 50% Quinacridone Rose",Sits between red and yellow as the most orange of the Quinacridone line. It can be mixed without turning grey. Extremely transparent and lightfast.,13.47,mix,quinacridone_sienna_crop.jpg
Quinacridone Burnt Scarlet,http://danielsmith.com/quinacridone-burnt-scarlet-5ml-tube-daniel-smith-extra-fine-watercolor/,http://danielsmith.com/wp-content/uploads/284610087_112817.jpg,Pigment: PR 206,1,Lightfastness: I – Excellent,Transparency: Transparent,Staining: 2-Low Staining,Granulation: Non-Granulating,"65% Quinacridone Rose, 35% Hansa Yellow Light, Touch of Phthalo Blue (GS) to neutralize",Rich red-brown that provides earth tones without becoming muddy. ,13.47,mix,quinacridone_burnt_scarlet_crop.jpg
Burnt Sienna,http://danielsmith.com/burnt-sienna-5ml-tube-daniel-smith-extra-fine-watercolor/,http://danielsmith.com/wp-content/uploads/284610010_112817.jpg,Pigment: PBr 7,1,Lightfastness: I – Excellent,Transparency: Semi-Transparent,Staining: 1-Non-Staining,Granulation: Granulating,"65% Quinacridone Rose, 32% Hansa Yellow Light, 3% Phthalo Blue (GS)","Natural earth pigment that is a favorite of landscape painters. Because it is semi-transparent, it may lose some luminosity with too many layers. For better transparency, try Quinacridone Burnt Sienna.",10.86,mix,burnt_sienna_crop.jpg
Burnt Umber,http://danielsmith.com/burnt-umber-5ml-tube-daniel-smith-extra-fine-watercolor/,http://danielsmith.com/wp-content/uploads/284610011_112817.jpg,Pigment: PBr 7,1,Lightfastness: I – Excellent,Transparency: Semi-Transparent,Staining: 2-Low Staining,Granulation: Granulating,"47% Quinacridone Rose, 47% Hansa Yellow Light, 6% Phthalo Blue (GS)",A neutralized version of the sienna red-brown. It can be warmed with Alizarin Crimson or cooled with Ultramarine Blue.,10.86,mix,burnt_umber_crop.jpg
Raw Umber,http://danielsmith.com/raw-umber-5ml-tube-daniel-smith-extra-fine-watercolor/,http://danielsmith.com/wp-content/uploads/284610097_112817.jpg,Pigment: PBr 7,1,Lightfastness: I – Excellent,Transparency: Semi-Transparent,Staining: 2-Low Staining,Granulation: Granulating,"45% Quinacridone Rose, 45% Hansa Yellow Light, 10% Phthalo Blue (GS) ",Leaning towards a neutralized green-brown. It will mix well with reddish-blues or violets for deep grays.,10.86,mix,raw_umber_crop.jpg
Sepia,http://danielsmith.com/sepia-5ml-tube-daniel-smith-extra-fine-watercolor/,http://danielsmith.com/wp-content/uploads/284610103_112817.jpg,"Pigment: PBr 7, PBk 9 ",2,Lightfastness: I – Excellent,Transparency: Semi-Transparent,Staining: 2-Low Staining,Granulation: Granulating,"42% Hansa Yellow Light, 42% Quinacridone Rose, 16% Phthalo Blue (GS)","The same base brown pigment as Raw Umber, but an added black pigment darkens and neutralizes the brown. The black pigment may make this shade appear flat in mixes.",10.86,mix,sepia_crop.jpg
Neutral Tint,http://danielsmith.com/neutral-tint-5ml-tube-daniel-smith-extra-fine-watercolor/,http://danielsmith.com/wp-content/uploads/284610229_112817.jpg,"Pigment: PBk 6, PV 19, PB 15 ",3,Lightfastness: I – Excellent,Transparency: Semi-Transparent,Staining: 2-Low Staining,Granulation: Non-Granulating,"32% Hansa Yellow Light, 32% Phthalo Blue (GS), 36% Quinacridone Rose",Neutral tint is meant to replace complementary mixing to neutralize colors. It works relatively well but tends to flatten painting with many neutral passages. Should not replace good color theory in complex paintings.,10.86,mix,neutral_tint_crop.jpg
Payne’s Gray,http://danielsmith.com/paynes-gray-5ml-tube-daniel-smith-extra-fine-watercolor/,http://danielsmith.com/wp-content/uploads/284610065_112817.jpg,"Pigment: PB 29, PBk 9 ",2,Lightfastness: I – Excellent,Transparency: Semi-Transparent,Staining: 2-Low Staining,Granulation: Granulating,"36% Phthalo Blue (GS), 32% Quinacridone Rose, 32% Hansa Yellow Light",Cool blue-gray can be used for stormy skies and seas. Mixing with yellow will result in a muddy color. The granulation makes for interesting stone patterns when applied wet-on-wet.,10.86,mix,payne‚Äôs_gray_crop.jpg
Lunar Black,http://danielsmith.com/lunar-black-5ml-tube-daniel-smith-extra-fine-watercolor/,http://danielsmith.com/wp-content/uploads/284610049_112817.jpg,Pigment: PBk 11,1,Lightfastness: I – Excellent,Transparency: Transparent,Staining: 2-Low Staining,Granulation: Granulating,"Equal mix of Hansa Yellow Light, Quinacridone Rose, Phthalo Blue (GS)","Highly granulating specialty pigment. It will dry into patches of light and dark, granular patches. Should not be used when a dark solid is desired.",10.86,mix,lunar_black_crop.jpg
Chinese White,http://danielsmith.com/chinese-white-5ml-tube-daniel-smith-extra-fine-watercolor/,http://danielsmith.com/wp-content/uploads/284610023_112817.jpg,Pigment: PW 4,1,Lightfastness: I – Excellent,Transparency: Semi-Transparent,Staining: 1-Non-Staining,Granulation: Non-Granulating,None,"White is not recommended by most watercolorists, as it will result in chalky mixes. It can be used thickly to add highlights to a dry canvas, however, a more permanent white may be desired for this, such as an acryl-gouache.",10.86,mix,chinese_white_crop.jpg
Titanium White,http://danielsmith.com/titanium-white-5ml-tube-daniel-smith-extra-fine-watercolor/,http://danielsmith.com/wp-content/uploads/284610118_112817.jpg,Pigment: PW 6,1,Lightfastness: I – Excellent,Transparency: Semi-Opaque,Staining: 1-Non-Staining,Granulation: Non-Granulating,None,"White is not recommended by most watercolorists, as it will result in chalky mixes. It can be used thickly to add highlights to a dry canvas, however, a more permanent white may be desired for this, such as an acryl-gouache.",10.86,mix,titanium_white_crop.jpg
